family,instance,algorithm,runs,ref_value,avg_runtime_sec,avg_cover_size,avg_rel_err,best_cover_size,worst_cover_size
large,large1,Approx,1,3303,0.16699687499999527,3307.0,0.0012110202845897668,3307,3307
large,large1,BnB,1,3303,0.17910570799999448,3303.0,0.0,3303,3303
large,large1,LS1,20,3303,2.120251712400003,3303.2,6.055101422948834e-05,3303,3305
large,large1,LS2,20,3303,2.1608354833000014,3322.2,0.005812897366030882,3320,3324
large,large10,Approx,1,933,0.2916839999999894,933.0,0.0,933,933
large,large10,BnB,1,933,2.331298916999998,933.0,0.0,933,933
large,large10,LS1,20,933,2.399519935299999,933.0,0.0,933,933
large,large10,LS2,20,933,2.354991049999998,933.05,5.359056806002143e-05,933,934
large,large11,Approx,1,989,0.6837289999999996,991.0,0.0020222446916076846,991,991
large,large11,BnB,1,989,2.6339674580000008,991.0,0.0020222446916076846,991,991
large,large11,LS1,20,989,2.51223728745,989.9,0.000910010111223458,989,990
large,large11,LS2,20,989,2.656672210449996,990.95,0.001971688574317493,990,991
large,large12,Approx,1,1438,0.9656600840000067,1450.0,0.008344923504867872,1450,1450
large,large12,BnB,1,1438,3.038831208000005,1450.0,0.008344923504867872,1450,1450
large,large12,LS1,20,1438,2.661043425100007,1438.0,0.0,1438,1438
large,large12,LS2,20,1438,2.889805556349998,1447.0,0.006258692628650904,1444,1449
large,large2,Approx,1,594,0.04690924999999879,612.0,0.030303030303030304,612,612
large,large2,BnB,1,594,2.046836042000024,595.0,0.0016835016835016834,595,595
large,large2,LS1,20,594,2.0478201270999974,594.0,0.0,594,594
large,large2,LS2,20,594,2.0440523666500012,608.55,0.024494949494949493,607,610
large,large3,Approx,1,2203,0.040051542000014706,2267.0,0.029051293690422152,2267,2267
large,large3,BnB,1,2203,2.038067708,2203.0,0.0,2203,2203
large,large3,LS1,20,2203,2.0646149249000003,2210.5,0.0034044484793463456,2207,2216
large,large3,LS2,20,2203,2.0792197061500017,2261.25,0.026441216522923285,2258,2265
large,large4,Approx,1,3926,0.3597929580000141,3942.0,0.004075394803871625,3942,3942
large,large4,BnB,1,3926,2.162911333000011,3927.0,0.00025471217524197657,3927,3927
large,large4,LS1,20,3926,2.133221514549997,3928.5,0.0006367804381049414,3926,3930
large,large4,LS2,20,3926,2.127522804050001,3936.4,0.002649006622516556,3935,3938
